Zone,District,AC No,AC Name,Current MLA,Party,Margin_2019,GE2024 Status,Margin_2024
Konkan,Raigad,189,Karjat,Mahendra Sadashiv Thorve,SHS,-1850,Lost,"-17,660"
Konkan,Raigad,190,Uran,Mahesh Baldi,IND,"2,888",Lost,"-13,250"
Konkan,Raigad,192,Alibag,Mahendra Hari Dalvi,SHS,-19966,Won,"38,996"
Konkan,Raigad,194,Mahad,Gogawale Bharat Maruti,SHS,"6,825",Won,"3,616"
Konkan,Ratnagiri,263,Dapoli,Kadam Yogeshdada Ramdas,SHS,"15,810",Lost,"-8,432"
Konkan,Ratnagiri,264,Guhagar,Bhaskar Bhaurao Jadhav,UBT,"2,280",Lost,"-27,596"
Konkan,Ratnagiri,266,Ratnagiri,Uday Ravindra Samant,SHS,"59,559",Lost,"-10,037"
Konkan,Ratnagiri,267,Rajapur,Rajan Prabhakar Salvi,UBT,"33,755",Lost,"-21,471"
Konkan,Sindhudurg,269,Kudal,Naik Vaibhav Vijay,UBT,"8,193",Won,"26,236"
Konkan,Sindhudurg,270,Sawantwadi,Deepak Vasantrao Kesarkar,SHS,"29,378",Won,"31,719"
Marathwada,Nanded,84,Hadgaon,Madhavrao Nivruttirao Patil,INC,"43,195",Lost,"-1,638"
Marathwada,Nanded,86,Nanded North,Balaji Devidasrao Kalyankar,SHS,-30117,Lost,"-40,595"
Marathwada,Nanded,87,Nanded South,Mohanrao Marotrao Hambarde,INC,-4864,Lost,"-18,094"
Marathwada,Nanded,88,Loha,Shyamsundar Shinde,PWPI-MVA,"68,662",Lost,"-2,795"
Marathwada,Nanded,90,Deglur (SC),Antapurkar Raosaheb Jayvanta,INC,"23,309",Lost,"-1,180"
Marathwada,Nanded,91,Mukhed,Tushar Govindrao Rathod,BJP,"35,827",Won,"3,997"
Marathwada,Hingoli,92,Basmath,Chandrakant Ramakant Nawghare,NCP-AP,"48,223",Lost,"-30,550"
Marathwada,Hingoli,93,Kalamnuri,Bangar Santosh Laxmanrao,SHS,"43,311",Lost,"-21,020"
Marathwada,Parbhani,96,Parbhani,Dr. Rahul Vedprakash Patil,UBT,-30217,Lost,"-42,400"
Marathwada,Parbhani,97,Gangakhed,Ratnakar Manikrao Gutte,RSPS,"28,475",Won,"6,711"
Marathwada,Parbhani,98,Pathri,Warpudkar Suresh Ambadasrao,INC,-23387,Lost,"-29,171"
Marathwada,Jalna,100,Gansavangi,Rajeshbhaiyya Tope,NCP-SP,"24,292",Lost,"-30,258"
Marathwada,Jalna,101,Jalna,Gorantyal Kailas Kisanrao,INC,"41,815",Lost,"-9,790"
Marathwada,Aurangabad,104,Sillod,Abdul Sattar Abdul Nabi,SHS,"79,825",Lost,"-27,759"
Marathwada,Aurangabad,105,Kannad,Udaysing Sardarsing Rajput,UBT,"4,614",Won,"25,892"
Marathwada,Aurangabad,107,Aurangabad (Central),Jaiswal Pradeep Shivnarayan,SHS,-49123,Lost,"-26,197"
Marathwada,Aurangabad,108,Aurangabad (West) (SC),Sanjay Pandurang Shirsat,SHS,"6,035",Won,"37,204"
Marathwada,Aurangabad,110,Paithan,Resignation : Bhumare Sandipanrao Asaram (Vacant),SHS,"41,414",Lost,"-27,856"
Marathwada,Aurangabad,112,Vaijapur,Bornare Ramesh Nanasaheb,SHS,"11,117",Won,"37,024"
Marathwada,Beed,230,Beed,Sandeep Ravindra Kshirsagar,NCP-SP,"5,823",Lost,"-62,312"
Marathwada,Dharashiv,240,Omerga (SC),Chougule Dnyanraj Dhondiram,SHS,"19,676",Lost,"-43,944"
Marathwada,Dharashiv,242,Dharashiv,Kailas Balasaheb Ghadge Patil,UBT,"8,412",Lost,"-60,423"
Marathwada,Dharashiv,243,Paranda,Tanaji Jaywant Sawant,SHS,"22,078",Lost,"-81,177"
Mumbai,Mumbai (Suburban),154,Magathane,Prakash Rajaram Surve,SHS,"71,869",Won,"45,908"
Mumbai,Mumbai (Suburban),156,Vikhroli,Raut Sunil Rajaram,UBT,"29,089",Lost,"-15,865"
Mumbai,Mumbai (Suburban),157,Bhandup West,Ramesh Gajanan Korgaonkar,UBT,"45,949",Lost,"-3,458"
Mumbai,Mumbai (Suburban),158,Jogeshwari East,Resignation : Ravindra Dattaram Waikar (Vacant),SHS,"55,719",Lost,"-11,291"
Mumbai,Mumbai (Suburban),159,Dindoshi,Sunil Prabhu,UBT,"51,277",Lost,"-1,701"
Mumbai,Mumbai (Suburban),162,Malad West,Aslam Ramzanali Shaikh,INC,"20,027",Lost,-935
Mumbai,Mumbai (Suburban),166,Andheri East,Rutuja Latke,UBT,"48,912",Won,"10,118"
Mumbai,Mumbai (Suburban),168,Chandivali,Dilip Bhausaheb Lande,SHS,"27,255",Lost,"-4,324"
Mumbai,Mumbai (Suburban),171,Mankhurd shivajinagar,Abu Asim Azmi,SP,-42062,Lost,"-87,971"
Mumbai,Mumbai (Suburban),172,Anushakti Nagar,Nawab Malik,NCP-AP,"8,649",Lost,"-29,113"
Mumbai,Mumbai (Suburban),173,Chembur,Prakash Vaikunth Phaterpekar,UBT,"39,341",Lost,"-5,878"
Mumbai,Mumbai (Suburban),174,Kurla (SC),Mangesh Kudalkar,SHS,"5,241",Lost,"-23,564"
Mumbai,Mumbai (Suburban),175,Kalina,Sanjay Govind Potnis,UBT,"9,483",Lost,"-16,292"
Mumbai,Mumbai City,178,Dharavi (SC),Resignation : Gaikwad Varsha Eknath (Vacant),INC,-8991,Lost,"-37,057"
Mumbai,Mumbai City,181,Mahim,Sada Sarvankar,SHS,"53,490",Won,"13,990"
Mumbai,Mumbai City,182,Worli,Aaditya Uddhav Thackeray,UBT,"36,154",Lost,"-6,715"
Mumbai,Mumbai City,183,Shivadi,Ajay Vinayak Choudhari,UBT,"49,852",Lost,"-16,903"
Mumbai,Mumbai City,184,Byculla,Yamini Yashwant Jadhav,SHS,-28675,Lost,"-46,066"
Northern Maharashtra,Nandurbar,1,Akkalkuwa (ST),Adv. K. C. Padavi,INC,-159,Lost,"-45,412"
Northern Maharashtra,Dhule,5,Sakri (ST),Manjula Tulshiram Gavit,IND,-9877,Lost,"-52,505"
Northern Maharashtra,Dhule,7,Dhule City,Shah Faruk Anwar,AIMIM,"29,455",Won,"4,824"
Northern Maharashtra,Jalgaon,10,Chopda (ST),Latabai Chandrakant Sonawane,SHS,"77,332",Won,"63,642"
Northern Maharashtra,Jalgaon,14,Jalgaon Rural,Gulabrao Raghunath Patil,SHS,"64,718",Won,"63,140"
Northern Maharashtra,Jalgaon,16,Erandol,Chimanrao Rupchand Patil,SHS,"73,304",Won,"22,085"
Northern Maharashtra,Jalgaon,18,Pachora,Kishor Appa Patil,SHS,"75,113",Won,"16,566"
Northern Maharashtra,Jalgaon,20,Muktainagar,Chandrakant Nimba Patil,IND,"59,856",Won,"46,929"
Northern Maharashtra,Nashik,113,Nandgaon,Suhas Dwarkanath Kande,SHS,"74,911",Won,"41,665"
Northern Maharashtra,Nashik,115,Malegaon (Outer),Bhuse Dadaji Dagdu,SHS,"94,147",Won,"55,212"
