#,District,AC Name,AC No.,MLA,Current Party
1,Nandurbar,Akkalkuwa (ST),1,Adv. K. C. Padavi,INC
2,Nandurbar,Shahada (ST),2,Rajesh Udesing Padvi,BJP
3,Nandurbar,Nandurbar (ST),3,Vijaykumar Krushnarao Gavit,BJP
4,Nandurbar,Nawapur (ST),4,Naik Shirishkumar Surupsing,INC
5,Dhule,Sakri (ST),5,Manjula Tulshiram Gavit,IND
6,Dhule,Dhule Rural,6,Kunalbaba Rohidas Patil,INC
7,Dhule,Dhule City,7,Shah Faruk Anwar,AIMIM
8,Dhule,Sindhkheda,8,Jaykumar Jitendrasinh Rawal,BJP
9,Dhule,Shirpur (ST),9,Kashiram Vechan Pawara,BJP
10,Jalgaon,Chopda (ST),10,Latabai Chandrakant Sonawane,SHS
11,Jalgaon,Raver,11,Chaudhari Shirish Madhukarrao,INC
12,Jalgaon,Bhusawal (SC),12,Sanjay Waman Sawkare,BJP
13,Jalgaon,Jalgaon City,13,Suresh Damu Bhole,BJP
14,Jalgaon,Jalgaon Rural,14,Gulabrao Raghunath Patil,SHS
15,Jalgaon,Amalner,15,Anil Bhaidas Patil,NCP-AP
16,Jalgaon,Erandol,16,Chimanrao Rupchand Patil,SHS
17,Jalgaon,Chalisgaon,17,Mangesh Ramesh Chavan,BJP
18,Jalgaon,Pachora,18,Kishor Appa Patil,SHS
19,Jalgaon,Jamner,19,Girish Dattatraya Mahajan,BJP
20,Jalgaon,Muktainagar,20,Chandrakant Nimba Patil,IND
21,Buldhana,Malkapur,21,Ekade Rajesh Panditrao,INC
22,Buldhana,Buldhana,22,Sanjay Rambhau Gaikwad,SHS
23,Buldhana,Chikhli,23,Shweta Vidyadhar Mahale,BJP
24,Buldhana,Sindhkhed Raja,24,Dr. Rajendra Bhaskarrao Shingane,NCP-AP
25,Buldhana,Mehkar (SC),25,Sanjay Bhaskar Raymulkar,SHS
26,Buldhana,Khamgaon,26,Akash Pandurang Fundkar,BJP
27,Buldhana,Jalgaon (Jamod),27,Kute Dr. Sanjay Shriram,BJP
28,Akola,Akot,28,Prakash Gunwantrao Bharsakale,BJP
29,Akola,Balapur,29,Nitinkumar Bhikanrao Tale,UBT
30,Akola,Aakola West,30,Late. Govardhan Mangilal Sharma (Vacant) ,BJP
31,Akola,Akola East,31,Randhir Pralhadrao Sawarkar,BJP
32,Akola,Murtizapur (SC),32,Harish Marotiappa Pimpale,BJP
33,Washim,Risod,33,Amit Subhashrao Zanak,INC
34,Washim,Washim (SC),34,Lakhan Sahadeo Malik,BJP
35,Washim,Karanja,35,Late. Patni Rajendra Sukhanand (Vacant),BJP
36,Amravati,Dhamangaon Railway,36,Adsad Pratap Arunbhau,BJP
37,Amravati,Badnera,37,Ravi Rana,IND
38,Amravati,Amrawati,38,Sulbha Sanjay Khodke,INC
39,Amravati,Teosa,39,Adv. Yashomati Chandrakant Thakur,INC
40,Amravati,Daryapur (SC),40,Resignation : Balwant Baswant Wankhade (Vacant),INC
41,Amravati,Melghat (ST),41,Rajkumar Dayaram Patel,PHJSP
42,Amravati,Achalpur,42,Bachchu Babarao Kadu,PHJSP
43,Amravati,Morshi,43,Devendra Mahadevrao Bhuyar,SWP
44,Wardha,Arvi,44,Dadarao Yadaoraoji Keche,BJP
45,Wardha,Deoli,45,Ranjit Prataprao Kamble,INC
46,Wardha,Hinganghat,46,Samir Trimbakrao Kunawar,BJP
47,Wardha,Wardha,47,Dr. Pankaj Rajesh Bhoyar,BJP
48,Nagpur,Katol,48,Anil Deshmukh,NCP-SP
49,Nagpur,Savner,49,Disqualification : Kedar Sunil Chhatrapal (Vacant),INC
50,Nagpur,Hingna,50,Meghe Sameer Dattatraya,BJP
51,Nagpur,Umred (SC),51,Resignation : Raju Devnath Parwe (Vacant),INC
52,Nagpur,Nagpur South West,52,Devendra Gangadharrao Fadnavis,BJP
53,Nagpur,Nagpur South,53,Mohan Gopalrao Mate,BJP
54,Nagpur,Nagpur East,54,Krushna Pancham Khopde,BJP
55,Nagpur,Nagpur Central,55,Vikas Shankarrao Kumbhare,BJP
56,Nagpur,Nagpur West,56,Vikas Pandurang Thakre,INC
57,Nagpur,Nagpur North (SC),57,Dr. Nitin Raut,INC
58,Nagpur,Kamthi,58,Sawarkar Tekchand Shrawan,BJP
59,Nagpur,Ramtek,59,Ashish Nandkishor Jaiswal (Vakil),IND
60,Bhandara,Tumsar,60,Karemore Raju Manikrao,NCP-AP
61,Bhandara,Bhandara (SC),61,Narendra Bhojraj Bhondekar,IND
62,Bhandara,Sakoli,62,Nanabhau Falgunrao Patole,INC
63,Gondiya,Arjuni Morgaon (SC),63,Chandrikapure Manohar Gowardhan,NCP-AP
64,Gondiya,Tirora,64,Vijay Bharatlal Rahangdale,BJP
65,Gondiya,Gondia,65,Vinod Agrawal,IND
66,Gondiya,Amgaon (ST),66,Korote Sahasram Maroti,INC
67,Gadchiroli,Armori (ST),67,Gajbe Krushna Damaji,BJP
68,Gadchiroli,Gadchiroli (ST),68,Dr. Deorao Madguji Holi,BJP
69,Gadchiroli,Aheri (ST),69,Aatram Dharamraobaba Bhagwantrao,NCP-AP
70,Chandrapur,Rajura,70,Subhash Ramchandrarao Dhote,INC
71,Chandrapur,Chandrapur (SC),71,Jorgewar Kishor Gajanan,IND
72,Chandrapur,Ballarpur,72,Mungantiwar Sudhir Sachchidanand,BJP
73,Chandrapur,Bramhapuri,73,Vijay Namdevrao Wadettiwar,INC
74,Chandrapur,Chimur,74,Bunty Bhangdiya,BJP
75,Chandrapur,Warora,75,Resignation : Dhanorkar Pratibha Suresh (Vacant),INC
76,Yavatmal,Wani,76,Sanjivreddy Bapurao Bodkurwar,BJP
77,Yavatmal,Ralegaon (ST),77,Ashok Ramaji Wooike (Uike),BJP
78,Yavatmal,Yavatmal,78,Madan Madhukar Yerawar,BJP
79,Yavatmal,Digras,79,Rathod Sanjay Dulichand,SHS
80,Yavatmal,Arni (ST),80,Dr. Dhurve Sandeep Prabhakar,BJP
81,Yavatmal,Pusad,81,Naik Indranil Manohar,NCP-AP
82,Yavatmal,Umarkhed (SC),82,Namdev Jayram Sasane,BJP
83,Nanded,Kinwat,83,Bhimrao Ramji Keram,BJP
84,Nanded,Hadgaon,84,Madhavrao Nivruttirao Patil,INC
85,Nanded,Bhokar,85,Resignation : Ashokrao Shankarrao Chavan (Vacant),INC
86,Nanded,Nanded North,86,Balaji Devidasrao Kalyankar,SHS
87,Nanded,Nanded South,87,Mohanrao Marotrao Hambarde,INC
88,Nanded,Loha,88,Shyamsundar Shinde,PWPI
89,Nanded,Naigaon,89,Rajesh Pawar,BJP
90,Nanded,Deglur (SC),90,Resignation : Antapurkar Raosaheb Jayvanta,INC
91,Nanded,Mukhed,91,Tushar Govindrao Rathod,BJP
92,Hingoli,Basmath,92,Chandrakant Ramakant Nawghare,NCP-AP
93,Hingoli,Kalamnuri,93,Bangar Santosh Laxmanrao,SHS
94,Hingoli,Hingoli,94,Tanhaji Sakharamji Mutkule,BJP
95,Parbhani,Jintur,95,Bordikar Meghna Sakore,BJP
96,Parbhani,Parbhani,96,Dr. Rahul Vedprakash Patil,UBT
97,Parbhani,Gangakhed,97,Ratnakar Manikrao Gutte,RSPS
98,Parbhani,Pathri,98,Warpudkar Suresh Ambadasrao,INC
99,Jalna,Partur,99,Babanrao Dattatrya Yadav,BJP
100,Jalna,Gansavangi,100,Rajeshbhaiyya Tope,NCP-SP
101,Jalna,Jalna,101,Gorantyal Kailas Kisanrao,INC
102,Jalna,Badnapur (SC),102,Kuche Narayan Tilakchand,BJP
103,Jalna,Bhokardan,103,Santosh Raosaheb Danve,BJP
104,Aurangabad,Sillod,104,Abdul Sattar Abdul Nabi,SHS
105,Aurangabad,Kannad,105,Udaysing Sardarsing Rajput,UBT
106,Chhatrapati Sambhaji Nagar,Pholambari,106,Bagde Haribhau Kisanrao,BJP
107,Aurangabad,Aurangabad (Central),107,Jaiswal Pradeep Shivnarayan,SHS
108,Aurangabad,Aurangabad (West) (SC),108,Sanjay Pandurang Shirsat,SHS
109,Chhatrapati Sambhaji Nagar,Aurangbad (East),109,Atul Moreshwar Save,BJP
110,Aurangabad,Paithan,110,Resignation : Bhumare Sandipanrao Asaram (Vacant),SHS
111,Chhatrapati Sambhaji Nagar,Gangapur,111,Bamb Prashant Bansilal,BJP
112,Aurangabad,Vaijapur,112,Bornare Ramesh Nanasaheb,SHS
113,Nashik,Nandgaon,113,Suhas Dwarkanath Kande,SHS
114,Nashik,Malegaon (Central),114,Mohammed Ismail Abdul Khalique,AIMIM
115,Nashik,Malegaon (Outer),115,Bhuse Dadaji Dagdu,SHS
116,Nashik,Baglan (ST),116,Dilip Manglu Borse,BJP
117,Nashik,Kalwan (ST),117,Nitin Arjun (A.T.) Pawar,NCP-AP
118,Nashik,Chandwad,118,Dr. Aher Rahul Daulatrao,BJP
119,Nashik,Yevla,119,Chhagan Bhujbal,NCP-AP
120,Nashik,Sinnar,120,Adv. Kokate Manikrao Shivajirao,NCP-AP
121,Nashik,Niphad,121,Bankar Diliprao Shankarrao,NCP-AP
122,Nashik,Dindori (ST),122,Zirwal Narhari Sitaram,NCP-AP
123,Nashik,Nashik East,123,Adv. Rahul Uattamrao Dhikle,BJP
124,Nashik,Nashik (Central),124,Devyani Suhas Pharande,BJP
125,Nashik,Nashik West,125,Seema Mahesh Hiray (Seematai),BJP
126,Nashik,Deolali (SC),126,Saroj Babulal Ahire,NCP-AP
127,Nashik,Igatpuri (ST),127,Hiraman Bhika Khoskar,INC
128,Palghar,Dahanu (ST),128,Nikole Vinod Bhiva,CPIM
129,Palghar,Vekramgrth (ST),129,Bhusara Sunil Chandrakant,NCP-SP
130,Palghar,Palghar (ST),130,Shrinivas Chintaman Vanga,SHS
131,Palghar,Boisar (ST),131,Rajesh Raghunath Patil,BVA
132,Palghar,Nalasopara,132,Kshitij Hitendra Thakur,BVA
133,Palghar,Vasai,133,Hitendra Vishnu Thakur,BVA
134,Thane,Bhiwandi Rural (ST),134,Shantaram Tukaram More,SHS
135,Thane,Shahapur (ST),135,Daulat Bhika Daroda,NCP-AP
136,Thane,Bhiwandi West,136,Chaughule Mahesh Prabhakar,BJP
137,Thane,Bhiwandi East,137,Rais Kasam Shaikh,SP
138,Thane,Kalyan West,138,Vishwanath Atmaram Bhoir,SHS
139,Thane,Murbad,139,Kisan Shankar Kathore,BJP
140,Thane,Ambarnath (SC),140,Dr. Kinikar Balaji Pralhad,SHS
141,Thane,Ulhasnagar,141,Ailani Kumar Uttamchand,BJP
142,Thane,Kalyan East,142,Ganpat Kalu Gaikwad,BJP
143,Thane,Dombivali,143,Chavan Ravindra Dattatray,BJP
144,Thane,Kalyan Rural,144,Pramod (Raju) Ratan Patil,MNS
145,Thane,Meera Bhayandar,145,Geeta Bharat Jain,IND
146,Thane,Ovala majiwada,146,Pratap Baburao Sarnaik,SHS
147,Thane,Kopri-Pachpakhadi,147,Eknath Sambhaji Shinde,SHS
148,Thane,Thane,148,Kelkar Sanjay Mukund,BJP
149,Thane,Mumbra-Kalwa,149,Awhad Jitendra Satish,NCP-SP
150,Thane,Airoli,150,Ganesh Naik,BJP
151,Thane,Belapur,151,Manda Vijay Mhatre,BJP
152,Mumbai (Suburban),Borivali,152,Sunil Dattatraya Rane,BJP
153,Mumbai (Suburban),Dhaisar,153,Chaudhary Manisha Ashok,BJP
154,Mumbai (Suburban),Magathane,154,Prakash Rajaram Surve,SHS
155,Mumbai (Suburban),Mulund,155,Kotecha Mihir Chandrakant,BJP
